date,category,title,amount
2021-12-28,outros,Mercpago*Mercadolivre 5/12,7.24
2021-12-28,,Parcelamento de Fatura 4/12,72.07
2021-12-28,serviços,Mercpago*Mercadolivre 5/12,20.68
2021-12-28,eletrônicos,Kabum 5/12,103.58
2021-12-28,outros,Mercpago*Mercadolivre 5/12,20.41
2021-12-29,eletrônicos,Amazon-Marketplace,74
2021-12-29,restaurante,Ifood *Ifood,40
2021-12-29,lazer,Rc Tabacaria,36.5
2021-12-29,saúde,Drogaria Araujo,115
2021-12-31,transporte,Lara Abreu Nasciment,110
2021-12-31,restaurante,Ifood *Ifood,20
2022-01-01,casa,Bahamas Mix,424.86
2022-01-04,,Saldo em atraso,1978.53
2022-01-04,transporte,Posto Cidade Alta,100
2022-01-04,restaurante,Pag*Brunofernandes,110
2022-01-04,,Crédito de atraso,-1978.53
2022-01-05,eletrônicos,Paypal *Jetbrainsam,24.39
2022-01-05,,IOF de "Paypal *Jetbrainsam",1.56
2022-01-09,restaurante,Ifood *Ifood,40
2022-01-09,casa,Bahamas Mix,100.13
2022-01-10,,Encerramento de dívida,-95.79
2022-01-10,,Multa de atraso de parcelamento de fatura,1.44
2022-01-10,,IOF de atraso de parcelamento de fatura,0.02
2022-01-10,,Juros de atraso de parcelamento de fatura,1.46
2022-01-10,,Saldo em rotativo,95.79
2022-01-10,,Pagamento recebido,-1420
2022-01-10,,IOF de atraso,8.53
2022-01-10,,Multa de atraso,39.72
2022-01-10,,Saldo em rotativo,630.6
2022-01-10,,Juros de atraso,47.54
2022-01-10,,Crédito de rotativo,-630.6
2022-01-11,casa,Bahamas Mix,168.53
2022-01-12,casa,Bahamas Mix,3.89
2022-01-12,casa,Bahamas Mix,28.86
2022-01-13,educação,Amazonprimebr,9.9
2022-01-15,supermercado,Ifood *Ifood,40
2022-01-16,serviços,Bldzety.Comresume,5.76
2022-01-16,,IOF de "Bldzety.Comresume",0.37
2022-01-16,outros,Paypal *Funimation,24.9
2022-01-16,serviços,Bldzety.Comresume,9.79
2022-01-16,,IOF de "Bldzety.Comresume",0.62
2022-01-17,eletrônicos,Paypal *Grammarly Nm9y,181.5
2022-01-17,,IOF de "Paypal *Grammarly Nm9y",11.58
2022-01-20,casa,Bahamas Mix,351.12
2022-01-20,restaurante,Ifood *Ifood,40.63
2022-01-22,serviços,Bahamas Mix Sao Pedr,208.97
2022-01-22,casa,Bahamas Mix,18.97
2022-01-24,outros,Privacycom,19.99
2022-01-25,,Juros de rotativo,69.93
2022-01-25,,IOF de rotativo,4.28
